ID,Tick,Type,Carbon,Electricity
7,3,GAS,1407845.2,52.802216
13,3,WIND,6640.559,24.610497
29,3,WIND,6606.4155,24.327658
11,3,WIND,6050.552,23.06299
16,3,WIND,7061.204,24.223608
18,3,WIND,7348.921,25.616453
8,3,GAS,1068581.5,46.539146
27,3,WIND,6721.631,23.983292
3,3,WIND,7460.358,25.35847
24,3,WIND,6651.1177,23.760445
10,3,WIND,8504.135,25.793749
0,3,WIND,6739.844,24.35156
1,3,WIND,7864.3823,25.29688
19,3,WIND,7264.6665,25.388662
6,3,WIND,7340.8423,24.346632
12,3,WIND,6832.2056,23.504208
17,3,WIND,7506.157,24.993223
28,3,WIND,7200.0977,24.865278
5,3,WIND,6847.5083,24.413872
4,3,WIND,7245.198,24.17215
9,3,WIND,6750.979,23.709698
23,3,WIND,6544.388,23.62885
20,3,WIND,8137.548,25.284128
2,3,WIND,8460.607,26.221386
15,3,COAL,2955860.5,62.21297
21,3,WIND,7221.2944,24.356125
14,3,WIND,8341.565,25.603962
26,3,WIND,7623.435,24.419252
22,3,WIND,7456.8604,25.175554
25,3,WIND,7759.4717,25.657131
7,3,NUCLEAR,294137.84,157.67159
13,3,WIND,6642.711,24.935638
29,3,WIND,7873.0234,25.33749
11,3,WIND,7057.0776,24.900795
16,3,WIND,7833.9736,25.89207
18,3,WIND,8989.295,27.195137
8,3,GAS,1089644.2,47.95109
27,3,WIND,6625.0186,24.324398
3,3,WIND,7808.844,25.977697
24,3,WIND,7432.5376,24.727228
10,3,NUCLEAR,272174.03,146.9814
0,3,WIND,6747.9414,24.51953
1,3,WIND,7937.132,25.69948
19,3,WIND,9039.156,26.878105
6,3,WIND,7764.456,24.815332
12,3,WIND,8380.098,25.931793
17,3,WIND,7743.1562,25.062355
28,3,WIND,8362.269,26.836536
5,3,WIND,7161.377,24.538786
4,3,WIND,7883.7144,24.91258
9,3,WIND,6607.2324,24.09772
23,3,WIND,6919.2275,23.697832
20,3,WIND,8145.136,25.94775
