Tick,Coal_Carbon,Gas_Carbon,Nuclear_Carbon,Wind_Carbon,Coal_Electricity,Gas_Electricity,Nuclear_Electricity,Wind_Electricity
227,5.792556E7,5.9888252E7,6794676.5,700984.44,1110.5624,2478.2341,3749.5525,2322.501
228,5.504034E7,5.8692056E7,6794676.5,700984.44,1048.2887,2427.1843,3749.5525,2322.501
229,5.504034E7,5.8692056E7,6794676.5,700984.44,1048.2887,2427.1843,3749.5525,2322.501
230,5.504034E7,5.8692056E7,6794676.5,700984.44,1048.2887,2427.1843,3749.5525,2322.501
231,5.504034E7,5.8692056E7,6794676.5,700984.44,1048.2887,2427.1843,3749.5525,2322.501
232,5.792556E7,5.9888252E7,6794676.5,708323.8,1110.5624,2478.2341,3749.5525,2347.7627
233,5.792556E7,5.9888252E7,6794676.5,708323.8,1110.5624,2478.2341,3749.5525,2347.7627
234,5.792556E7,6.0064656E7,6794676.5,708323.8,1110.5624,2479.1904,3749.5525,2347.7627
235,5.792556E7,6.0064656E7,6794676.5,708323.8,1110.5624,2479.1904,3749.5525,2347.7627
236,5.792556E7,6.0064656E7,6794676.5,708323.8,1110.5624,2479.1904,3749.5525,2347.7627
237,5.792556E7,6.0064656E7,6794676.5,717095.94,1110.5624,2479.1904,3749.5525,2375.8037
238,5.792556E7,6.0064656E7,6794676.5,717095.94,1110.5624,2479.1904,3749.5525,2375.8037
239,5.792556E7,5.8790384E7,6794676.5,717095.94,1110.5624,2430.2676,3749.5525,2375.8037
240,5.792556E7,5.8790384E7,6794676.5,717095.94,1110.5624,2430.2676,3749.5525,2375.8037
241,5.792556E7,5.8790384E7,6794676.5,723696.56,1110.5624,2430.2676,3749.5525,2399.6125
242,5.792556E7,5.8790384E7,6794676.5,731409.44,1110.5624,2430.2676,3749.5525,2427.6106
243,5.792556E7,5.7594188E7,6794676.5,738679.2,1110.5624,2379.2178,3749.5525,2453.0833
244,5.792556E7,5.7594188E7,6794676.5,746640.6,1110.5624,2379.2178,3749.5525,2478.795
245,5.792556E7,5.7594188E7,6794676.5,746640.6,1110.5624,2379.2178,3749.5525,2478.795
246,5.792556E7,5.7594188E7,6794676.5,746640.6,1110.5624,2379.2178,3749.5525,2478.795
247,5.792556E7,5.7594188E7,6794676.5,746640.6,1110.5624,2379.2178,3749.5525,2478.795
248,5.792556E7,5.7594188E7,6794676.5,746640.6,1110.5624,2379.2178,3749.5525,2478.795
249,6.2265472E7,5.7594188E7,6794676.5,746640.6,1178.0806,2379.2178,3749.5525,2478.795
250,6.2265472E7,5.7594188E7,6794676.5,746640.6,1178.0806,2379.2178,3749.5525,2478.795
